src_ip,dst_ip,protocol,service,flag,duration,bytes,src_port,dst_port,attack_type,is_malware,prior_intrusion,src_os,dst_os,src_country,dst_country,timestamp,username,auth_result,http_method,url_path,http_version,http_response_code,user_agent
114.12.170.3,95.54.240.218,icmp,http,RSTR,4107.36,601432,24741,665,normal,no,yes,Unix,Windows,IN,CN,2025-05-17T08:20:13.926765,admin,success,POST,/data,HTTP/1.1,401,Mozilla/5.0
82.113.91.33,223.235.14.90,icmp,eco_i,RSTO,2468.84,480456,24682,817,dos,no,yes,Linux,MacOS,BR,RU,2025-04-24T21:42:52.926765,guest,failure,GET,/home,HTTP/1.1,500,curl/7.64.1
199.120.227.50,207.24.245.62,tcp,http,S0,1112.7,78799,19975,718,u2r,yes,no,Unix,Unix,FR,RU,2025-04-26T05:09:37.926765,admin,failure,DELETE,/login,HTTP/2,500,python-requests/2.23.0
50.37.131.31,171.229.40.202,icmp,ftp,S1,4792.71,408664,46838,777,probe,no,no,MacOS,Linux,CN,CN,2025-05-09T06:36:01.926765,dave,success,GET,/upload,HTTP/2,401,python-requests/2.23.0
169.149.51.128,188.238.104.51,tcp,eco_i,RSTO,1935.14,665907,2203,350,dos,yes,no,MacOS,Unix,BR,BR,2025-04-27T23:13:30.926765,eve,failure,HEAD,/data,HTTP/2,301,PostmanRuntime/7.26.8
240.110.69.86,73.228.243.50,icmp,ntp_u,REJ,2510.64,64519,13232,1013,u2r,no,no,MacOS,Unix,RU,CN,2025-04-30T17:58:36.926765,dave,success,POST,/data,HTTP/1.1,400,python-requests/2.23.0
35.20.117.183,238.197.123.6,icmp,imap4,S0,4706.97,242404,40042,757,dos,yes,no,MacOS,Unix,RU,JP,2025-05-06T02:27:51.926765,admin,failure,OPTIONS,/home,HTTP/2,401,curl/7.64.1
96.55.39.60,74.196.66.122,icmp,domain_u,SF,4284.38,977458,9348,218,r2l,no,no,Windows,MacOS,FR,FR,2025-04-26T04:09:14.926765,alice,failure,GET,/upload,HTTP/2,403,curl/7.64.1
203.178.53.121,128.224.55.9,icmp,domain_u,S0,2233.11,418699,34558,295,normal,no,no,Windows,MacOS,JP,DE,2025-04-18T11:52:43.926765,dave,success,OPTIONS,/upload,HTTP/2,403,curl/7.64.1
214.11.231.181,141.216.135.75,icmp,domain_u,RSTO,2916.54,584521,1811,944,dos,yes,no,Windows,MacOS,DE,RU,2025-05-14T19:19:19.926765,alice,success,HEAD,/upload,HTTP/2,401,Wget/1.20.3
220.4.83.84,165.94.103.132,udp,private,S1,222.04,479525,35377,170,dos,yes,no,Unix,Windows,FR,FR,2025-04-25T04:42:58.926765,charlie,success,GET,/home,HTTP/2,404,curl/7.64.1
137.44.92.199,129.183.21.147,udp,ssh,S0,188.26,540179,35789,266,u2r,no,yes,Linux,Unix,RU,BR,2025-05-13T06:58:06.926765,admin,success,OPTIONS,/home,HTTP/2,302,curl/7.64.1
57.186.103.29,156.98.43.86,icmp,eco_i,RSTR,1432.5,643459,6015,902,normal,no,no,Windows,MacOS,DE,IN,2025-05-02T08:50:08.926765,alice,failure,PUT,/upload,HTTP/1.1,302,Mozilla/5.0
174.73.242.215,158.115.58.52,icmp,dns,REJ,2195.35,279616,28692,306,normal,no,yes,Linux,Linux,CN,JP,2025-05-11T02:55:58.926765,bob,success,POST,/config,HTTP/1.1,200,PostmanRuntime/7.26.8
96.88.103.58,249.55.136.5,udp,private,REJ,840.72,96841,43548,201,r2l,no,yes,Unix,Windows,FR,RU,2025-05-08T05:35:39.926765,admin,failure,PUT,/login,HTTP/1.1,500,curl/7.64.1
156.7.5.177,126.53.227.131,udp,private,S1,3822.47,491062,21145,532,normal,yes,no,MacOS,Unix,FR,DE,2025-04-23T13:27:15.926765,admin,success,GET,/data,HTTP/1.1,404,Mozilla/5.0
202.250.114.47,77.31.101.71,tcp,ntp_u,RSTO,2836.05,206288,41837,448,dos,yes,no,Unix,Unix,KR,CN,2025-05-06T23:39:25.926765,dave,success,OPTIONS,/dashboard,HTTP/1.1,200,Mozilla/5.0
207.87.252.171,216.77.172.45,tcp,private,SH,372.61,468412,49962,401,normal,no,yes,Windows,MacOS,FR,KR,2025-05-14T02:57:28.926765,bob,success,OPTIONS,/data,HTTP/1.1,403,PostmanRuntime/7.26.8
112.192.91.232,207.217.101.183,icmp,pop3,RSTR,251.01,32545,65061,159,u2r,yes,yes,Unix,Windows,IN,KR,2025-05-02T11:18:45.926765,admin,success,GET,/data,HTTP/2,500,python-requests/2.23.0
133.43.243.13,51.200.25.192,tcp,http,REJ,3448.89,576971,62626,262,probe,yes,yes,Windows,Linux,US,JP,2025-04-24T11:04:07.926765,charlie,failure,OPTIONS,/home,HTTP/1.1,302,Wget/1.20.3
79.77.93.82,74.109.55.152,icmp,nntp,S0,4877.82,129247,10040,784,dos,yes,yes,Unix,Linux,BR,KR,2025-05-09T05:20:23.926765,dave,success,HEAD,/upload,HTTP/1.1,401,curl/7.64.1
149.10.207.28,249.65.40.69,icmp,dns,RSTO,3370.07,26269,3941,359,normal,yes,yes,MacOS,Linux,DE,RU,2025-05-03T22:50:30.926765,charlie,failure,DELETE,/config,HTTP/2,500,PostmanRuntime/7.26.8
216.124.195.236,233.231.249.185,icmp,ftp,S1,2475.69,858883,15000,170,normal,yes,yes,MacOS,Linux,BR,JP,2025-04-26T07:15:59.926765,eve,success,OPTIONS,/admin,HTTP/1.1,302,python-requests/2.23.0
5.71.239.119,124.85.77.134,tcp,ntp_u,RSTR,3672.9,962417,46394,306,dos,no,yes,Linux,Unix,BR,KR,2025-05-08T08:21:05.926765,alice,success,GET,/admin,HTTP/1.1,500,curl/7.64.1
221.244.183.66,66.143.254.211,udp,domain_u,SF,1365.5,677741,8671,22,probe,no,yes,Linux,Unix,DE,FR,2025-05-07T02:35:31.926765,dave,success,GET,/upload,HTTP/1.1,400,curl/7.64.1
229.31.4.98,155.83.94.230,icmp,domain_u,S1,2113.69,918816,51334,548,normal,yes,no,Unix,Unix,FR,KR,2025-04-21T03:48:43.926765,charlie,success,HEAD,/data,HTTP/1.1,401,PostmanRuntime/7.26.8
159.25.185.196,11.130.79.183,icmp,domain_u,SF,4617.44,22886,56502,880,r2l,no,yes,Unix,MacOS,RU,BR,2025-04-22T06:39:32.926765,bob,failure,PUT,/upload,HTTP/1.1,404,Wget/1.20.3
50.39.19.115,131.34.35.46,udp,private,SF,1807.73,678243,32163,468,r2l,yes,yes,Linux,Unix,US,CN,2025-05-14T20:24:23.926765,dave,success,POST,/dashboard,HTTP/1.1,400,Mozilla/5.0
132.75.181.173,56.72.61.73,tcp,eco_i,SF,3908.56,613135,50443,75,dos,no,no,Windows,Unix,FR,CN,2025-05-11T21:07:34.926765,dave,failure,OPTIONS,/config,HTTP/2,404,Mozilla/5.0
45.190.19.53,113.250.14.86,udp,imap4,RSTR,485.73,977068,7128,722,dos,yes,yes,Linux,Windows,DE,KR,2025-05-05T14:48:09.926765,charlie,failure,OPTIONS,/admin,HTTP/1.1,403,Mozilla/5.0
47.216.36.102,22.13.112.65,icmp,ftp,S0,2202.12,591303,1607,384,normal,no,no,MacOS,Linux,US,CN,2025-04-22T18:29:06.926765,alice,success,DELETE,/admin,HTTP/1.1,400,Mozilla/5.0
109.19.207.224,77.119.136.12,tcp,smtp,S0,3294.48,520538,11456,129,dos,yes,no,MacOS,MacOS,KR,RU,2025-04-28T13:23:44.926765,charlie,failure,POST,/admin,HTTP/2,400,python-requests/2.23.0
116.64.236.152,240.68.234.103,icmp,http,REJ,2555.36,369611,19256,12,probe,yes,yes,MacOS,Linux,BR,BR,2025-05-02T13:43:01.926765,alice,failure,PUT,/data,HTTP/2,404,PostmanRuntime/7.26.8
155.191.113.3,194.82.158.2,udp,private,SH,185.68,958582,62218,636,dos,no,yes,Windows,MacOS,DE,US,2025-05-13T11:45:01.926765,bob,success,HEAD,/login,HTTP/2,401,PostmanRuntime/7.26.8
109.156.63.150,170.177.253.55,tcp,eco_i,RSTO,1220.08,85505,33870,333,probe,yes,yes,Unix,Windows,CN,CN,2025-04-23T16:45:23.926765,charlie,success,HEAD,/dashboard,HTTP/2,404,PostmanRuntime/7.26.8
252.51.242.188,255.125.80.47,icmp,smtp,SF,2265.87,481818,4124,432,probe,yes,no,Unix,Unix,US,RU,2025-04-27T12:28:44.926765,guest,success,GET,/config,HTTP/2,403,PostmanRuntime/7.26.8
32.56.162.138,24.30.5.12,tcp,ntp_u,RSTO,411.49,570395,58088,8,u2r,no,no,Windows,Linux,FR,DE,2025-04-30T22:09:02.926765,alice,success,PUT,/dashboard,HTTP/1.1,401,curl/7.64.1
11.76.231.76,109.205.98.62,icmp,eco_i,S1,2211.21,865466,36568,388,dos,yes,yes,MacOS,Unix,CN,FR,2025-05-09T11:47:18.926765,charlie,success,GET,/upload,HTTP/2,400,Mozilla/5.0
234.81.178.94,54.60.135.87,udp,imap4,REJ,801.89,453272,63721,620,dos,yes,yes,MacOS,Linux,KR,BR,2025-05-14T01:33:26.926765,admin,failure,PUT,/upload,HTTP/1.1,301,python-requests/2.23.0
32.118.233.168,230.27.231.145,udp,dns,RSTR,4524.32,50482,34662,739,u2r,no,yes,Unix,MacOS,CN,KR,2025-04-20T21:22:20.926765,eve,success,POST,/data,HTTP/2,301,python-requests/2.23.0
54.132.166.23,2.109.242.167,icmp,private,SH,3419.31,82161,46448,134,dos,no,no,Windows,MacOS,US,RU,2025-04-28T23:58:55.926765,eve,success,POST,/login,HTTP/2,401,Mozilla/5.0
34.189.140.118,163.33.79.32,tcp,ftp,SH,1663.78,322763,18127,755,normal,no,no,Windows,MacOS,FR,JP,2025-04-25T09:14:49.926765,charlie,success,OPTIONS,/login,HTTP/1.1,401,Wget/1.20.3
166.98.174.117,123.31.131.200,tcp,eco_i,RSTO,2345.3,436385,44557,838,dos,no,yes,MacOS,MacOS,RU,CN,2025-05-06T11:09:07.926765,dave,failure,PUT,/config,HTTP/1.1,200,Mozilla/5.0
32.116.0.131,11.152.40.137,tcp,private,RSTR,4508.61,471696,64414,912,dos,yes,no,Linux,Windows,KR,BR,2025-05-17T10:55:31.926765,alice,failure,PUT,/config,HTTP/1.1,400,Wget/1.20.3
17.230.33.45,92.78.222.164,icmp,dns,S1,1443.54,867618,10699,928,dos,no,yes,Windows,Windows,BR,IN,2025-04-26T19:40:30.926765,alice,success,GET,/dashboard,HTTP/1.1,301,PostmanRuntime/7.26.8
215.99.159.171,243.143.69.200,icmp,nntp,S0,4669.17,339919,29093,982,u2r,no,yes,Linux,MacOS,CN,JP,2025-04-19T08:33:31.926765,alice,failure,OPTIONS,/login,HTTP/1.1,301,Wget/1.20.3
44.105.147.44,173.199.70.159,udp,eco_i,RSTR,1298.09,222280,63006,933,probe,no,no,MacOS,MacOS,JP,CN,2025-05-13T20:11:05.926765,alice,failure,OPTIONS,/data,HTTP/2,400,curl/7.64.1
192.190.181.70,150.157.83.59,icmp,ssh,SF,1061.64,412604,26593,530,probe,no,no,Unix,Windows,DE,FR,2025-04-25T06:08:36.926765,guest,failure,GET,/upload,HTTP/2,500,python-requests/2.23.0
140.173.60.155,175.121.17.151,tcp,eco_i,SF,1328.03,496019,1184,61,r2l,no,no,Windows,MacOS,KR,US,2025-05-13T15:57:06.926765,eve,failure,OPTIONS,/login,HTTP/2,500,curl/7.64.1
237.30.181.10,175.84.21.220,icmp,ntp_u,REJ,3591.93,851898,49262,702,normal,no,no,Windows,MacOS,IN,KR,2025-05-02T04:10:33.926765,bob,success,OPTIONS,/login,HTTP/1.1,401,Wget/1.20.3
1.142.35.187,79.117.212.113,icmp,eco_i,RSTR,376.84,84606,36370,863,probe,yes,yes,MacOS,Windows,US,FR,2025-05-08T20:51:24.926765,eve,success,GET,/admin,HTTP/1.1,301,curl/7.64.1
8.14.87.13,204.106.243.199,tcp,domain_u,SH,1034.24,359277,17698,894,probe,no,no,Linux,MacOS,KR,FR,2025-05-12T14:21:59.926765,eve,failure,DELETE,/dashboard,HTTP/2,401,Wget/1.20.3
187.0.164.7,57.120.159.39,udp,dns,S1,1213.08,837091,13853,276,r2l,no,no,Linux,Unix,US,RU,2025-04-19T17:02:24.926765,charlie,failure,OPTIONS,/dashboard,HTTP/1.1,301,Wget/1.20.3
197.190.163.82,22.227.148.220,icmp,ftp,SH,2273.55,832239,61683,248,u2r,yes,yes,MacOS,MacOS,US,KR,2025-04-28T05:06:37.926765,alice,failure,DELETE,/login,HTTP/2,404,curl/7.64.1
78.17.170.109,193.230.193.237,tcp,smtp,RSTR,2652.98,387833,28389,793,probe,yes,no,MacOS,Unix,KR,JP,2025-05-12T15:05:28.926765,guest,success,GET,/admin,HTTP/1.1,404,Wget/1.20.3
19.188.49.69,149.6.217.63,udp,http,SF,202.96,314849,16133,162,dos,yes,no,MacOS,Unix,RU,JP,2025-05-04T15:06:26.926765,alice,failure,GET,/home,HTTP/1.1,404,PostmanRuntime/7.26.8
119.88.211.12,167.9.136.63,icmp,nntp,SF,1811.51,907136,16416,185,r2l,no,yes,Linux,Windows,BR,FR,2025-04-18T06:53:31.926765,alice,success,OPTIONS,/data,HTTP/1.1,200,PostmanRuntime/7.26.8
32.151.201.59,169.173.81.113,udp,pop3,S1,1438.03,696286,22043,134,u2r,no,yes,Unix,Linux,DE,KR,2025-04-28T13:03:10.926765,admin,success,DELETE,/admin,HTTP/1.1,302,curl/7.64.1
138.204.48.157,124.250.70.70,icmp,ntp_u,SF,3157.02,779396,6181,464,probe,no,no,Linux,Linux,US,IN,2025-05-04T23:41:24.926765,charlie,success,HEAD,/upload,HTTP/2,403,Mozilla/5.0
62.146.98.9,192.232.186.63,icmp,domain_u,RSTO,1782.78,971769,1035,42,probe,no,yes,Unix,Windows,IN,DE,2025-04-23T09:54:14.926765,guest,failure,PUT,/login,HTTP/2,401,curl/7.64.1
165.54.47.45,11.97.21.135,udp,http,S1,2091.92,115283,48714,57,u2r,no,yes,Linux,Unix,RU,JP,2025-04-23T01:56:58.926765,alice,failure,OPTIONS,/login,HTTP/2,200,PostmanRuntime/7.26.8
121.170.114.223,200.60.175.179,tcp,nntp,RSTR,2353.91,353894,36216,959,u2r,yes,yes,Windows,Linux,FR,KR,2025-04-21T03:31:14.926765,guest,failure,HEAD,/data,HTTP/2,403,python-requests/2.23.0
202.131.184.228,106.47.212.107,icmp,domain_u,SF,3927.29,429082,33398,402,u2r,yes,yes,Unix,MacOS,FR,FR,2025-04-26T16:28:47.926765,bob,failure,PUT,/home,HTTP/2,401,Mozilla/5.0
175.76.122.71,205.252.192.44,icmp,pop3,SH,4449.99,679572,21902,251,dos,yes,no,MacOS,Windows,IN,RU,2025-04-30T07:33:27.926765,dave,success,GET,/data,HTTP/2,500,Mozilla/5.0
119.185.84.93,152.38.237.83,icmp,ntp_u,RSTO,825.46,753004,42319,430,normal,yes,no,Windows,Unix,DE,BR,2025-05-12T21:33:40.926765,guest,failure,PUT,/admin,HTTP/1.1,302,Mozilla/5.0
109.109.171.65,38.39.28.97,icmp,smtp,RSTO,1293.4,291822,54401,1003,probe,no,yes,MacOS,Windows,KR,KR,2025-04-24T05:24:24.926765,alice,failure,OPTIONS,/home,HTTP/2,301,Mozilla/5.0
191.199.66.238,155.194.125.71,icmp,smtp,SF,1355.01,773645,18218,269,probe,no,yes,Unix,Linux,US,KR,2025-04-30T18:27:46.926765,alice,success,GET,/home,HTTP/1.1,403,curl/7.64.1
134.251.177.140,82.123.59.252,tcp,imap4,RSTR,3971.9,762454,15593,732,r2l,no,yes,Windows,Linux,IN,BR,2025-04-22T04:27:21.926765,alice,success,GET,/admin,HTTP/2,302,PostmanRuntime/7.26.8
37.89.177.223,115.197.58.165,icmp,dns,RSTR,4970.07,737755,35028,313,dos,no,yes,MacOS,Unix,DE,KR,2025-04-22T06:18:19.926765,guest,failure,DELETE,/login,HTTP/2,400,Wget/1.20.3
192.201.111.37,183.85.101.243,icmp,ssh,S0,3615.27,183761,9845,885,normal,yes,no,Linux,Windows,JP,FR,2025-05-09T19:27:12.926765,admin,success,OPTIONS,/upload,HTTP/1.1,301,Wget/1.20.3
64.64.216.185,215.255.144.123,udp,nntp,SH,2829.62,375344,45792,145,probe,yes,no,Linux,MacOS,BR,JP,2025-04-20T09:51:24.926765,dave,success,DELETE,/upload,HTTP/2,401,curl/7.64.1
81.121.80.229,105.67.205.190,icmp,ftp,SF,316.1,347980,37540,106,r2l,yes,yes,MacOS,Linux,IN,IN,2025-04-20T06:20:31.926765,dave,success,GET,/config,HTTP/1.1,400,Mozilla/5.0
233.159.230.176,87.96.168.231,icmp,ntp_u,RSTO,901.13,194573,43493,749,r2l,no,no,MacOS,Windows,FR,FR,2025-04-25T12:20:59.926765,bob,success,PUT,/home,HTTP/1.1,301,Wget/1.20.3
53.134.242.168,96.11.93.47,icmp,ntp_u,SF,883.33,436621,3432,647,u2r,no,no,Windows,MacOS,JP,KR,2025-04-30T04:34:20.926765,alice,failure,PUT,/config,HTTP/2,404,Mozilla/5.0
119.33.126.226,108.72.62.240,tcp,dns,REJ,2286.52,883747,35246,21,r2l,yes,no,Unix,Linux,RU,DE,2025-05-16T10:54:37.926765,charlie,failure,DELETE,/login,HTTP/1.1,200,curl/7.64.1
175.64.18.183,183.227.15.97,udp,ftp,SH,3398.01,573497,60291,791,dos,yes,no,Windows,MacOS,DE,BR,2025-04-23T01:46:41.926765,alice,failure,PUT,/login,HTTP/1.1,500,curl/7.64.1
155.177.202.149,5.173.252.170,icmp,imap4,RSTR,2855.61,212035,18203,600,normal,no,no,MacOS,Windows,RU,DE,2025-04-23T05:48:13.926765,admin,failure,DELETE,/admin,HTTP/2,302,PostmanRuntime/7.26.8
101.107.115.155,18.221.186.114,tcp,ntp_u,REJ,3596.82,478121,59648,183,u2r,yes,no,Windows,MacOS,IN,BR,2025-05-07T20:00:21.926765,charlie,success,DELETE,/config,HTTP/2,301,Mozilla/5.0
210.247.84.158,222.212.119.169,udp,domain_u,S1,4649.91,988853,17413,17,r2l,yes,yes,Unix,Windows,US,DE,2025-04-26T16:13:09.926765,eve,success,PUT,/home,HTTP/1.1,400,Wget/1.20.3
254.26.23.66,82.42.48.163,tcp,nntp,RSTO,433.86,848508,39280,454,probe,yes,no,Linux,Linux,DE,FR,2025-05-07T06:28:48.926765,charlie,failure,POST,/admin,HTTP/2,400,curl/7.64.1
244.44.68.58,186.244.242.93,icmp,domain_u,RSTR,3624.16,548460,21162,99,r2l,no,no,Linux,Windows,DE,DE,2025-04-26T08:58:51.926765,bob,failure,POST,/login,HTTP/2,404,Wget/1.20.3
83.210.16.234,118.230.92.126,tcp,pop3,S0,4186.14,333979,60160,621,r2l,yes,yes,Linux,Windows,RU,DE,2025-04-17T15:51:22.926765,eve,failure,GET,/login,HTTP/2,301,PostmanRuntime/7.26.8
